,T_ext,T_int,Ts_ext,Ts_int,q_ext,q_int
0,303.149993896,294.149993896,297.0675354,293.247009277,0.0,0.0
10,303.149993896,294.149993896,299.599121037,293.782297762,0.0,0.0
20,303.149993896,294.149993896,301.024871759,294.029123929,0.0,0.0
30,303.149993896,294.149993896,301.829925536,294.224609376,0.0,0.0
40,303.149993896,294.149993896,302.287353517,294.367421469,0.0,0.0
50,303.149993896,294.149993896,302.540979996,294.466918934,0.0,0.0
60,303.149993896,294.149993896,302.686492921,294.533447266,0.0,0.0
70,303.149993896,294.149993896,302.772445687,294.576807662,0.0,0.0
80,303.149993896,294.149993896,302.824635833,294.605000819,0.0,0.0
90,303.149993896,294.149993896,302.856658936,294.623397827,0.0,0.0
100,303.149993896,294.149993896,302.876434322,294.635548907,0.0,0.0
110,303.149993896,294.149993896,302.888310749,294.643503824,0.0,0.0
120,303.149993896,294.149993896,302.896148682,294.648986816,0.0,0.0
130,303.149993896,294.149993896,302.90132141,294.652623493,0.0,0.0
140,303.149993896,294.149993896,302.902994792,294.654408773,0.0,0.0
150,303.149993896,294.149993896,302.903518677,294.655456543,0.0,0.0
160,303.149993896,294.149993896,302.90447998,294.656534831,0.0,0.0
170,303.149993896,294.149993896,302.90516154,294.657292684,0.0,0.0
180,303.149993896,294.149993896,302.905517578,294.657684326,0.0,0.0
190,303.149993896,294.149993896,302.905446371,294.657704671,0.0,0.0
200,303.149993896,294.149993896,302.905192057,294.657552083,0.0,0.0
210,303.149993896,294.149993896,302.904937744,294.657394409,0.0,0.0
220,303.149993896,294.149993896,302.904683431,294.657246908,0.0,0.0
230,303.149993896,294.149993896,302.904429118,294.657109578,0.0,0.0
240,303.149993896,294.149993896,302.904174805,294.656951904,0.0,0.0
250,303.149993896,294.149993896,302.903951009,294.65679423,0.0,0.0
260,303.149993896,294.149993896,302.903696696,294.656656901,0.0,0.0
270,303.149993896,294.149993896,302.903579712,294.656585693,0.0,0.0
280,303.149993896,294.149993896,302.903564453,294.656565348,0.0,0.0
290,303.149993896,294.149993896,302.903533936,294.656555176,0.0,0.0
300,303.149993896,294.149993896,302.903503418,294.656524658,0.0,0.0
310,303.149993896,294.149993896,302.9034729,294.656524658,0.0,0.0
320,303.149993896,294.149993896,302.903442383,294.656494141,0.0,0.0
330,303.149993896,294.149993896,302.903411865,294.656478882,0.0,0.0
340,303.149993896,294.149993896,302.90339152,294.656463623,0.0,0.0
350,303.149993896,294.149993896,302.903381348,294.656433105,0.0,0.0
